Verb	BuilderFullName	Method	BodyType	ReturnType	QpProperties
PostAsync	Microsoft.PowerPlatform.Management.Governance.CrossTenantConnectionReports.CrossTenantConnectionReportsRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<CrossTenantConnectionReport>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Governance.RuleBasedPolicies.Item.EnvironmentGroups.Item.Assignments.AssignmentsRequestBuilder	PostAsync(PolicyAssignmentRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.PolicyAssignmentRequest	Task`1<RuleAssignment>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Governance.RuleBasedPolicies.Item.Environments.Item.Assignments.AssignmentsRequestBuilder	PostAsync(PolicyAssignmentRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.PolicyAssignmentRequest	Task`1<RuleAssignment>	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Governance.RuleBasedPolicies.Item.WithPolicyItemRequestBuilder	PutAsync(PolicyRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.PolicyRequest	Task`1<RuleAssignment>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Governance.RuleBasedPolicies.RuleBasedPoliciesRequestBuilder	PostAsync(PolicyRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.PolicyRequest	Task`1<Policy>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.BillingPoliciesRequestBuilder	PostAsync(BillingPolicyPostRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.BillingPolicyPostRequestModel	Task`1<BillingPolicyResponseModel>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.Item.Environments.Add.AddRequestBuilder	PostAsync(BillingPolicyEnvironmentAddRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.BillingPolicyEnvironmentAddRequestModel	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.Item.Environments.Remove.RemoveRequestBuilder	PostAsync(BillingPolicyEnvironmentRemoveRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.BillingPolicyEnvironmentRemoveRequestModel	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.Item.RefreshProvisioningStatus.RefreshProvisioningStatusRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<BillingPolicyResponseModel>	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.Item.WithBillingPolicyItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Licensing.BillingPolicies.Item.WithBillingPolicyItemRequestBuilder	PutAsync(BillingPolicyPutRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.BillingPolicyPutRequestModel	Task`1<BillingPolicyResponseModel>	ApiVersion
PatchAsync	Microsoft.PowerPlatform.Management.Licensing.Environments.Item.Allocations.AllocationsRequestBuilder	PatchAsync(AllocationsByEnvironmentPatchRequestModelV1 body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.AllocationsByEnvironmentPatchRequestModelV1	Task`1<AllocationsByEnvironmentResponseModelV1>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.IsvContracts.IsvContractsRequestBuilder	PostAsync(IsvContractPostRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.IsvContractPostRequestModel	Task`1<IsvContractResponseModel>	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Licensing.IsvContracts.Item.WithIsvContractItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Licensing.IsvContracts.Item.WithIsvContractItemRequestBuilder	PutAsync(IsvContractPutRequestModel body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.IsvContractPutRequestModel	Task`1<IsvContractResponseModel>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Licensing.TemporaryCurrencyEntitlement.Item.Count.CountRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<GetTemporaryCurrencyEntitlementCountResponseModel>	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.CreateWafRules.CreateWafRulesRequestBuilder	PutAsync(WebApplicationFirewallRules body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.WebApplicationFirewallRules	Task	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.DeleteWafCustomRules.DeleteWafCustomRulesRequestBuilder	PutAsync(List`1 body, Action`1 requestConfiguration, CancellationToken cancellationToken)	System.Collections.Generic.List`1[[System.String, System.Private.CoreLib, Version=10.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.DisableWaf.DisableWafRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Nullable`1>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.EnableWaf.EnableWafRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Ipaddressrules.IpaddressrulesRequestBuilder	PostAsync(IpAddressConfiguration body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.IpAddressConfiguration	Task`1<AllowedIpAddressesConfiguration>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Restart.RestartRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Scan.Deep.Start.StartRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Scan.Quick.Execute.ExecuteRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<List`1>	ApiVersion,Lcid
PatchAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.SetPortalBootstrapV5Enabled.SetPortalBootstrapV5EnabledRequestBuilder	PatchAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.SetPortalDataModelVersion.SetPortalDataModelVersionRequestBuilder	PostAsync(PortalDataModelDto body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.PortalDataModelDto	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Start.StartRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.Stop.StopRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.UpdatePortalSecurityGroup.UpdatePortalSecurityGroupRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion,SecurityGroupId
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.UpdateSiteVisibility.UpdateSiteVisibilityRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion,SiteVisibility
DeleteAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.Item.WebsitesItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Powerpages.Environments.Item.Websites.WebsitesRequestBuilder	PostAsync(NewWebsiteRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.NewWebsiteRequest	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Resourcequery.Resources.Query.QueryRequestBuilder	PostAsync(ResourceQueryRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.ResourceQueryRequest	Task`1<ResourceQueryResponse>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Usermanagement.Environments.Item.User.ApplyAdminRole.ApplyAdminRoleRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
